feed,title,long_url,short_url
GN:T:DL,What is TinyML? | FierceElectronics - FierceElectronics,https://www.fierceelectronics.com/electronics/what-tinyml,https://j.mp/3pKj1af
GN:T:DL,Georgia Tech & Facebook Tensor Train Approach Achieves 112x Size Reduction in DL Recommendation Models | Georgia Tech & Facebook Tensor Train Approach Achieves 112x Size Reduction in DL Recommendation ModelsSynced - Synced,https://syncedreview.com/2021/02/02/georgia-tech-facebook-tensor-train-approach-achieves-112x-size-reduction-in-dl-recommendation-models/,https://j.mp/2MPafJK
