feed,title,long_url,short_url
GN:T:DL,"Deep Learning: AI, Art History, and the Museum | Magazine - MoMA",https://news.google.com/rss/articles/CBMiKmh0dHBzOi8vd3d3Lm1vbWEub3JnL21hZ2F6aW5lL2FydGljbGVzLzgzOdIBAA?oc=5,https://da.gd/JhuRT
GN:T:DL,External validation of a deep learning detection system for glaucomatous optic neuropathy: a real-world multicentre study | Eye - Nature,https://news.google.com/rss/articles/CBMiMmh0dHBzOi8vd3d3Lm5hdHVyZS5jb20vYXJ0aWNsZXMvczQxNDMzLTAyMy0wMjYyMi050gEA?oc=5,https://da.gd/BNSbye
