feed,title,long_url,short_url
GN:T:DL,Lightweight bearing fault diagnosis via decoupled distillation and low rank adaptation | Scientific Reports - Nature,https://news.google.com/rss/articles/CBMiX0FVX3lxTE9TUW5rNGx6RE02T0ZqR2trZ2dkWmU4ZlBvTDN6Sk9tOGdSamFZYXF6aTRIUVY1c0dCOU9YeWx6QU9ubE1FaGhHbWhiVXRybFR6THdsWmpKSEZLTGhtaEE0?oc=5,
GN:T:DL,Interpretable deep learning for personalized energy expenditure prediction using ECG and acceleration signals in incremental exercise | Scientific Reports - Nature,https://news.google.com/rss/articles/CBMiX0FVX3lxTE1mNmQ5MkxmN2VYU2E5Y3ZObzVFM0NhVi1EbmF2X3RMRFpSVzZZLUVHTHBNU2diWE9HdUszVTVscVNIdWtQQ2lRdjM2eC1Nek1iVVhMS1kydWQwbTNCUHpr?oc=5,
GN:T:DL,Morphometric similarity network-based graph convolutional networks for schizophrenia classification | Scientific Reports - Nature,https://news.google.com/rss/articles/CBMiX0FVX3lxTE16S3F4bUNpYlVqdHc1WDFtV3FEOVRhNEs5QldjZ0c3bkJOUnlOc3A4c3c2aW5rQVdDRFFEQUpKWVI0UlVEX1hucXVfN0ZPdTFkOURVTTNUaUdmX1N0MlFz?oc=5,
GN:T:DL,Multi-modal ancient scripts recognition via deep learning with data homogenization and augmentation | npj Heritage Science - Nature,https://news.google.com/rss/articles/CBMiX0FVX3lxTFBoRUdlTlIwMzJqS1RMdXk1aFFtT0tVWWZ2MzRFM2FkUTBkeE53ZzBlZEx6X2NUaG8xWXZJaEhKQkNNUkFxNVV4bDltdGVmVFR4cmtVUzRvU2pHX0hTR1N3?oc=5,
