feed,title,long_url,short_url
YT:DeepMind,Project Astra demo | Recognizing drawings of landmarks,https://youtu.be/a0WNxVK5vJM,
YT:DeepMind,Project Astra demo | Explaining physics drawings,https://youtu.be/hLTqQQ71TVw,
YT:DeepMind,Project Astra demo | Interpreting drawings from literature,https://youtu.be/smLNb1OoyFc,
YT:DeepMind,Project Astra demo | Memorizing a sequence of objects,https://youtu.be/tyyg9pLVhN8,
YT:DeepMind,Project Astra demo | Explaining parts of a race car,https://youtu.be/4SrujTACZwA,
