feed,title,long_url,short_url
GN:S:RL,Three extraordinary examples of digital technology in action | Process Excellence Network - Process Excellence Network,https://www.processexcellencenetwork.com/tools-technologies/articles/three-extraordinary-examples-of-digital-technology-in-action,https://bit.ly/3yyxn41
GN:S:RL,PhD Fellowship in Energy Efficiency and Automated Decision-making job with UNIVERSITY OF STAVANGER | 312041 - Times Higher Education,https://www.timeshighereducation.com/unijobs/listing/312041/phd-fellowship-in-energy-efficiency-and-automated-decision-making/,https://bit.ly/3VvKxZJ
