feed,title,long_url,short_url
GN:T:CC,"'Climate change is making the fires start easier, spread faster': Jay Inslee | ABC News - ABC News",https://www.youtube.com/watch?v=kg4eueVOp8s,
GN:T:CC,Oregon senator says Trump's blame on 'forest management' for wildfires is 'just a big and devastating lie' | TheHill - The Hill,https://thehill.com/policy/energy-environment/516188-oregon-senator-says-trumps-blame-on-forest-management-for-wildfires,
