feed,title,long_url,short_url
YT:AWS:Events,AWS Marketplace Immersion Day | AWS Events,https://youtu.be/DrWIw66WeIw,
YT:AWS:Events,AWS Summit Online ANZ | Powering Moderna’s digital biotechnology platform to develop new vaccines,https://youtu.be/1Tgyem6JhNQ,
YT:AWS:Events,Ransomware Protection and Recovery | AWS Events,https://youtu.be/JmWbiCLqLag,
