feed,title,long_url,short_url
YT:AWS:Events,AWS Summit Stockholm 2024 | AWS Events,https://youtu.be/Ao90O9Cn3VE,
YT:AWS:Events,AWS at Hannover Messe 2024 Preview | AWS Events,https://youtu.be/RkHhvwmjRXM,
YT:AWS:Events,Expanding Citrix DaaS capabilities with Amazon WorkSpaces Core - AWS OnAir S05 | AWS Events,https://youtu.be/0wqLjAdqB48,
YT:AWS:Events,How Amazon Aurora Optimized Reads improves performance of gen AI apps - AWS OnAir S05 | AWS Events,https://youtu.be/M3bJ-beMHoo,
YT:AWS:Events,Model your world with myApplications - AWS OnAir S05 | AWS Events,https://youtu.be/V9XPyk4DOho,
