feed,title,long_url,short_url
GN:T:DL,Arc bubble edge detection method based on deep transfer learning in underwater wet welding | Scientific Reports - Nature,https://news.google.com/rss/articles/CBMiX0FVX3lxTE1xNEhiYWMwb3JpZmRCN1AzcW83ZVM1TFRtNTBxQ25WUG1VdTVXYVVqbmN4OXpsZWxrd1J2eHRZd0pPZ0hLaUdhVlNkMndwUnJQMlNQYjZBZnVZVUg5UjBr?oc=5,https://da.gd/wX9W
GN:T:DL,Mineral prospectivity prediction based on convolutional neural network and ensemble learning | Scientific Reports - Nature,https://news.google.com/rss/articles/CBMiX0FVX3lxTE1kLTYwYjdFajJCa3pPY0ZvZFljbGZZNHhEUFNHdzBSdWdWSU8ySlJnSGQ5TDc5X1drdkpZWDNVQUc4Q2J6Wi1tU1M5UEw1VVRJRWQtUUhqUzU4Y04xWFZN?oc=5,https://da.gd/5k3wwW
