feed,title,long_url,short_url
GN:T:DL,Deep learning the flow law of Antarctic ice shelves - Science | AAAS,https://news.google.com/rss/articles/CBMiYEFVX3lxTE9Jc2FuTnI5MG1IZkFwS2l3aUktXzNNbEt4dHBqOEZNYnZzTU1JZTRCVnpreDZqMTAzWk5vREJyT0pHR1g5a3l5X0lrWVNjUlhqTUQ0SFlYMEV1cHhITmdZSg?oc=5,https://da.gd/avnqxu
GN:T:DL,ALL diagnosis: can efficiency and transparency coexist? An explainble deep learning approach | Scientific Reports - Nature,https://news.google.com/rss/articles/CBMiX0FVX3lxTE1Fc3JHSk9IWUhRQzJ5anV2UVRVcDB2TGtNVWlnbTlwN21mTi0zQ3dGZWtlNGRKZl9XdjJMRmlHOVdOd2pnOUMtR09oMzBiZkFFNDdYQmZkeWVha2cweWdB?oc=5,https://da.gd/jlZJB
