feed,title,long_url,short_url
GN:T:GP,Rystad Energy Reveals Surprising Oil Resource Trends - Crude Oil Prices Today | OilPrice,https://news.google.com/rss/articles/CBMimwFBVV95cUxNUUtlT0NWbXJRMzdJVFMzYWRoUXpYMjQ5SldGXzRqaWRTeDl0allsZ3V0S2VtYU1sQVV3ajdadUdZaXZBVjZTQXYyWGpfYVZwa2hOdU5HSjVralI4Tk9ObnkwRDhSZUVXQ21zZ1Z0MnV1RVkyVWFycU5LZHpRNHJScVZZX3ZyblVmeEhOMFlFWFU4U3dfVnN5MjZYUdIBoAFBVV95cUxPUDRjbFg0VTVGUExHQndiT2J2eTBEbGFkR2pFaDJsdnU3eVdSYTBvQVB1RmdkdzZPdTVUaGk2TTNxUlRVZ1ByQmYwN0VkWXNiZXVvVEpRa3otazBkeEZHS1JaazFyLURJZmVhaU53NHFyanlfX2xfVW0yenVOUHlnNTFXd2E2dXlKaGlmYTRrQUgzVlBTaEwwNXFDZG1JbEhw?oc=5,
GN:T:GP,Contact reports strong profit as geothermal and gas positions boost performance - BusinessDesk | NZ,https://news.google.com/rss/articles/CBMivwFBVV95cUxPWjhMYkxRU18yWWVhN2JFaVNXUjdZbDRzeDQxT05ldnNaTTdfNGQ2SmRuZVM3YjI0bFA5djdNMkZjc2lmblQwc3lwT3JDQmZiNFI1ektjWV9lVmpnRzBFYkprZzUxSWg4Nk5MQmRKNU9qTlA5OEY4M3B6amxNTHNwQVJMYUEzTDdmMHhlaG51VU9INlpPeU9LOGdCWWtzVlNMTXN2VG9WZFgyaXV3bXBqVWFaTkNWRE1ZdlVVN1FXaw?oc=5,
