feed,title,long_url,short_url
YT:AWS,Amazon Redshift Data Sharing | Amazon Web Services,https://youtu.be/h4DgsfILUos,
YT:AWS,Amazon Redshift Customer Success Stories | Amazon Web Services,https://youtu.be/wh_SA93UU_s,
YT:AWS,Using Custom Language Models (CLM) to supercharge transcription accuracy | Amazon Web Services,https://youtu.be/iTkJoIqRrPU,
YT:AWS,Amazon Inspector Overview Demo | Amazon Web Services,https://youtu.be/Nx8s7lwapoE,
YT:AWS,AWS Supports You | Driving Cost Optimization with the new KPI and Modernization Dashboard,https://youtu.be/kVdQlrbr3XA,
