feed,title,long_url,short_url
GN:T:SL,"The qualitative analysis of the nexus dynamics in the Pekalongan coastal area, Indonesia | Scientific Reports - Nature",https://www.nature.com/articles/s41598-022-15683-9,
GN:T:SL,Total isostatic response to the complete unloading of the Greenland and Antarctic Ice Sheets | Scientific Reports - Nature,https://www.nature.com/articles/s41598-022-15440-y,
