feed,title,long_url,short_url
YT:TheFitnessMaverick,Core Training Masterclass | The Fitness Maverick X MiraFit,https://youtu.be/otK_vq-2YNM,
YT:TheFitnessMaverick,Dips for chest | tips for perfect exercise technique #exercises #buildmuscle #chest #chestworkout,https://youtu.be/nkwuUdeuif4,
