feed,title,long_url,short_url
GN:T:GP,China's Oil Inventories Soar to Highest in Nearly Three Years - Crude Oil Prices Today | OilPrice,https://news.google.com/rss/articles/CBMitwFBVV95cUxOc3ZMbUpVVDliMlJ1MEpZTjdCNmdqUGE0R2hTMm5rRTl4REU0YU52QXR5b2FRUkk0WVN0TGZvaFU3ckhLMkZZRENRdE9XWXExaFNyY3FzSFBsWVFiSW9PV3JKTU05WVlyaF9nejFEeGNYald1MUE4MjUzM2hKN0NpZnZnUDlxRzVBQ2dSdEVrTEluNndqWFlneWp6dG1DTmpGU3d0b2tiTnJYY2E2aHQ4WHBTS3A5Y00?oc=5,https://da.gd/yTCFT
GN:T:GP,Exxon Set to Surge Ahead of European Competitors in Low-Carbon Investment Race - Crude Oil Prices Today | OilPrice,https://news.google.com/rss/articles/CBMizwFBVV95cUxQX3RqM0dJYnFJT2pqT01HZU9sSzVPZ0pYTXNqV3RXMGhJSmhzeGROQ0VkNGdiTEpnTUYzeTZuSVM0N2FlZlFhaGNBS0lRanYzcVgxTWtCZUpKM0U3NF9qaHVDcGhVV2xvTE1BUHFYdjR0VUsxNVAxczlyS2FjYnkwR2JiLUVhMnAzc3pyVDBpc09OMjF1ZE1Xd2I0NjAtSDlDS3ZoZDY0T1NWYm5ZQmZLR0NRT1NFRXl3Mnp0OUJxTXltM1FkOWthclJhVFVZcFnSAdQBQVVfeXFMTmJGdE1Gd2VEbllSX2FYZUtGT1N4X0daUFVIUl9LQm00ekc1ZXlRR1N0Q0h4cUZEck1wUk12Z3I4Z2VOUlVGRmlCYThyRUxEVjJidi1ucFBDd1kwanZTWVQ2XzZWSTRtcDhrMm80TlN1b196bEpWNzQ2ZjdrQThtbGNxQ0hWLTZBS1NDZ2toenpFb0tYSEg0NlFDeUlqaHd0bGFDYW9FSkhVOWNrV2laU0sxdTBHMTVaNG9tWnpBSW1vYmYtYmpYemNzV2wxYWdIVnhMdjM?oc=5,https://da.gd/8kNPN
