feed,title,long_url,short_url
GN:T:CC,Opinion | Joe Biden’s Climate Team Actually Cares About Climate - The New York Times,https://www.nytimes.com/2020/12/28/opinion/biden-cabinet-climate-change.html,
GN:T:CC,Singer Akon is raising $6 billion to build a real-life Wakanda straight out of the movie 'Black Panther' | TheHill - The Hill,https://thehill.com/changing-america/resilience/smart-cities/531884-singer-akon-is-raising-6-billion-to-build-a-real,
